payment_id,user_id,amount,payment_date,plan_type,valid_until,churn_status,renewed,validity_days
T94004614165,15016,12.99,2025-01-03,Premium,2025-03-04,active,True,60
T74390334266,15016,12.99,2025-03-08,Premium,2025-05-07,active,True,60
T57975160415,15017,7.99,2024-11-01,Standard,2024-12-01,churned,False,30
T56360377263,15018,7.99,2024-11-01,Standard,2024-12-01,active,True,30
T77936566461,15018,7.99,2024-12-03,Standard,2025-01-02,active,True,30
T72332071303,15018,7.99,2025-01-04,Standard,2025-02-03,churned,False,30
T51016615944,15019,7.99,2024-11-01,Standard,2024-12-01,churned,False,30
T67866895253,15020,12.99,2024-11-01,Premium,2024-12-31,active,True,60
T68146927813,15020,12.99,2025-01-01,Premium,2025-03-02,active,True,60
T60452605066,15020,12.99,2025-03-07,Premium,2025-05-06,active,True,60
T55271788119,15021,12.99,2024-11-01,Premium,2024-12-31,active,True,60
T65027241832,15021,7.99,2025-01-04,Standard,2025-02-03,active,True,30
T80694921165,15021,7.99,2025-02-07,Standard,2025-03-09,active,True,30
T78780773096,15021,7.99,2025-03-11,Standard,2025-04-10,active,True,30
T96163605526,15022,7.99,2024-11-01,Standard,2024-12-01,active,True,30
T52784926787,15022,7.99,2024-12-06,Standard,2025-01-05,active,True,30
T96681277563,15022,7.99,2025-01-09,Standard,2025-02-08,active,True,30
T50643057417,15022,7.99,2025-02-10,Standard,2025-03-12,churned,False,30
T75985654279,15023,12.99,2024-11-02,Premium,2025-01-01,active,True,60
T61688474355,15023,12.99,2025-01-04,Premium,2025-03-05,active,True,60
T97221161916,15023,12.99,2025-03-08,Premium,2025-05-07,active,True,60
T66483474111,15024,4.99,2024-11-02,Student Plan,2024-12-02,active,True,30
T85150626520,15024,4.99,2024-12-07,Student Plan,2025-01-06,active,True,30
T84819416018,15024,4.99,2025-01-09,Student Plan,2025-02-08,active,True,30
T67806285433,15024,4.99,2025-02-10,Student Plan,2025-03-12,active,True,30
T68397112337,15024,4.99,2025-03-14,Student Plan,2025-04-13,active,True,30
T97930083266,15025,12.99,2024-11-02,Premium,2025-01-01,active,True,60
T67196030676,15025,7.99,2025-01-04,Standard,2025-02-03,active,True,30
T67175758511,15025,12.99,2025-02-07,Premium,2025-04-08,active,True,60
T70379301000,15026,4.99,2024-11-02,Student Plan,2024-12-02,active,True,30
T52518789746,15026,4.99,2024-12-05,Student Plan,2025-01-04,active,True,30
T99417920901,15026,7.99,2025-01-05,Standard,2025-02-04,active,True,30
T68856136672,15026,7.99,2025-02-05,Standard,2025-03-07,active,True,30
T96668412107,15026,7.99,2025-03-12,Standard,2025-04-11,active,True,30
T79984546142,15027,7.99,2024-11-02,Standard,2024-12-02,active,True,30
T92633715807,15027,7.99,2024-12-07,Standard,2025-01-06,active,True,30
T86593212078,15027,7.99,2025-01-11,Standard,2025-02-10,active,True,30
T92161901626,15027,7.99,2025-02-11,Standard,2025-03-13,active,True,30
T71981155677,15027,7.99,2025-03-14,Standard,2025-04-13,active,True,30
T78725537465,15028,12.99,2024-11-02,Premium,2025-01-01,active,True,60
T81397052452,15028,12.99,2025-01-06,Premium,2025-03-07,active,True,60
T68763503568,15028,12.99,2025-03-09,Premium,2025-05-08,active,True,60
T55487840278,15029,12.99,2024-11-02,Premium,2025-01-01,churned,False,60
T92726546347,15030,12.99,2024-11-02,Premium,2025-01-01,active,True,60
T70469808995,15030,12.99,2025-01-04,Premium,2025-03-05,active,True,60
T98026892064,15030,12.99,2025-03-08,Premium,2025-05-07,active,True,60
T57676903221,15031,12.99,2024-11-02,Premium,2025-01-01,active,True,60
T77860827886,15031,4.99,2025-01-03,Student Plan,2025-02-02,active,True,30
T57103732483,15031,4.99,2025-02-06,Student Plan,2025-03-08,active,True,30
T66441065397,15031,7.99,2025-03-12,Standard,2025-04-11,active,True,30
T53474702305,15032,4.99,2024-11-02,Student Plan,2024-12-02,active,True,30
T94238238916,15032,4.99,2024-12-03,Student Plan,2025-01-02,active,True,30
T67528257762,15032,4.99,2025-01-05,Student Plan,2025-02-04,churned,False,30
T72502666376,15033,4.99,2024-11-02,Student Plan,2024-12-02,active,True,30
T52471828758,15033,4.99,2024-12-04,Student Plan,2025-01-03,churned,False,30
T91909968669,15034,12.99,2024-11-02,Premium,2025-01-01,active,True,60
T93719013737,15034,12.99,2025-01-06,Premium,2025-03-07,churned,False,60
T72962955118,15035,4.99,2024-11-02,Student Plan,2024-12-02,active,True,30
T84655403715,15035,4.99,2024-12-06,Student Plan,2025-01-05,active,True,30
T55272869479,15035,4.99,2025-01-07,Student Plan,2025-02-06,active,True,30
T84378451466,15035,4.99,2025-02-10,Student Plan,2025-03-12,churned,False,30
T92561686843,15036,12.99,2024-11-02,Premium,2025-01-01,active,True,60
T74248672135,15036,7.99,2025-01-03,Standard,2025-02-02,active,True,30
T65730464849,15036,7.99,2025-02-06,Standard,2025-03-08,active,True,30
T83663003005,15036,7.99,2025-03-10,Standard,2025-04-09,churned,False,30
T72812536200,15037,12.99,2024-11-02,Premium,2025-01-01,active,True,60
T67695357670,15037,12.99,2025-01-06,Premium,2025-03-07,active,True,60
T96333661941,15037,12.99,2025-03-11,Premium,2025-05-10,churned,False,60
T66496595611,15038,12.99,2024-11-02,Premium,2025-01-01,churned,False,60
T98064240132,15039,4.99,2024-11-02,Student Plan,2024-12-02,active,True,30
T63904739935,15039,4.99,2024-12-03,Student Plan,2025-01-02,active,True,30
T84813215538,15039,4.99,2025-01-07,Student Plan,2025-02-06,active,True,30
T62240940912,15039,4.99,2025-02-11,Student Plan,2025-03-13,active,True,30
T50214298069,15040,4.99,2024-11-02,Student Plan,2024-12-02,active,True,30
T72317179689,15040,4.99,2024-12-05,Student Plan,2025-01-04,active,True,30
T64325794452,15040,4.99,2025-01-06,Student Plan,2025-02-05,churned,False,30
T63497963038,15041,4.99,2024-11-02,Student Plan,2024-12-02,churned,False,30
T97528294770,15042,7.99,2024-11-02,Standard,2024-12-02,churned,False,30
T60207584881,15043,12.99,2024-11-02,Premium,2025-01-01,active,True,60
T81127555222,15043,12.99,2025-01-06,Premium,2025-03-07,active,True,60
T90082053626,15043,12.99,2025-03-12,Premium,2025-05-11,active,True,60
T68377216361,15044,4.99,2024-11-03,Student Plan,2024-12-03,active,True,30
T87289570030,15044,12.99,2024-12-07,Premium,2025-02-05,active,True,60
T73179071675,15044,12.99,2025-02-08,Premium,2025-04-09,active,True,60
T88269301192,15045,12.99,2024-11-03,Premium,2025-01-02,active,True,60
T63932302228,15045,7.99,2025-01-07,Standard,2025-02-06,active,True,30
T66340077589,15045,7.99,2025-02-07,Standard,2025-03-09,churned,False,30
T55609199570,15046,7.99,2024-11-03,Standard,2024-12-03,active,True,30
T86805260982,15046,7.99,2024-12-04,Standard,2025-01-03,active,True,30
T53591292629,15046,7.99,2025-01-07,Standard,2025-02-06,active,True,30
T76311706696,15046,7.99,2025-02-10,Standard,2025-03-12,active,True,30
T89312411240,15046,7.99,2025-03-15,Standard,2025-04-14,churned,False,30
T78405054909,15047,4.99,2024-11-03,Student Plan,2024-12-03,active,True,30
T51401540816,15047,4.99,2024-12-06,Student Plan,2025-01-05,active,True,30
T99792714573,15047,7.99,2025-01-08,Standard,2025-02-07,active,True,30
T57943538039,15047,4.99,2025-02-09,Student Plan,2025-03-11,active,True,30
T75742059771,15048,12.99,2024-11-03,Premium,2025-01-02,active,True,60
T85757668832,15048,12.99,2025-01-03,Premium,2025-03-04,active,True,60
T75899708567,15048,12.99,2025-03-08,Premium,2025-05-07,active,True,60
T91913761575,15049,4.99,2024-11-03,Student Plan,2024-12-03,churned,False,30
T52288993507,15050,4.99,2024-11-03,Student Plan,2024-12-03,active,True,30
T56106328052,15050,7.99,2024-12-08,Standard,2025-01-07,active,True,30
T62311290532,15050,7.99,2025-01-08,Standard,2025-02-07,active,True,30
T51805178390,15050,7.99,2025-02-08,Standard,2025-03-10,active,True,30
T72864473869,15050,7.99,2025-03-15,Standard,2025-04-14,active,True,30
T56967252535,15051,12.99,2024-11-03,Premium,2025-01-02,active,True,60
T55886759459,15051,12.99,2025-01-06,Premium,2025-03-07,active,True,60
T92821004664,15051,12.99,2025-03-11,Premium,2025-05-10,churned,False,60
T61837910430,15052,12.99,2024-11-03,Premium,2025-01-02,churned,False,60
T98014025266,15053,4.99,2024-11-03,Student Plan,2024-12-03,active,True,30
T69234853564,15053,4.99,2024-12-07,Student Plan,2025-01-06,active,True,30
T90277140177,15053,4.99,2025-01-11,Student Plan,2025-02-10,active,True,30
T95618519247,15053,4.99,2025-02-13,Student Plan,2025-03-15,active,True,30
T76004827492,15054,4.99,2024-11-03,Student Plan,2024-12-03,active,True,30
T80424531244,15054,12.99,2024-12-04,Premium,2025-02-02,active,True,60
T81277074466,15054,7.99,2025-02-07,Standard,2025-03-09,churned,False,30
T50444135445,15055,4.99,2024-11-03,Student Plan,2024-12-03,active,True,30
T78729095192,15055,4.99,2024-12-04,Student Plan,2025-01-03,active,True,30
T78473076460,15055,4.99,2025-01-08,Student Plan,2025-02-07,active,True,30
T74584343528,15055,12.99,2025-02-09,Premium,2025-04-10,active,True,60
T57726091135,15056,12.99,2024-11-03,Premium,2025-01-02,active,True,60
T88697505621,15056,12.99,2025-01-07,Premium,2025-03-08,active,True,60
T69209587134,15056,12.99,2025-03-11,Premium,2025-05-10,active,True,60
T79325599536,15057,7.99,2024-11-03,Standard,2024-12-03,active,True,30
T89981661830,15057,7.99,2024-12-05,Standard,2025-01-04,churned,False,30
T86558682561,15058,4.99,2024-11-03,Student Plan,2024-12-03,active,True,30
T53137616104,15058,4.99,2024-12-08,Student Plan,2025-01-07,active,True,30
T88972437628,15058,4.99,2025-01-08,Student Plan,2025-02-07,active,True,30
T57531023891,15058,4.99,2025-02-09,Student Plan,2025-03-11,active,True,30
T95754382847,15058,4.99,2025-03-12,Student Plan,2025-04-11,active,True,30
T50405099742,15059,4.99,2024-11-03,Student Plan,2024-12-03,churned,False,30
T72047314676,15060,7.99,2024-11-03,Standard,2024-12-03,active,True,30
T75989644088,15060,12.99,2024-12-06,Premium,2025-02-04,active,True,60
T85343563447,15060,12.99,2025-02-06,Premium,2025-04-07,active,True,60
T78273475530,15061,7.99,2024-11-03,Standard,2024-12-03,churned,False,30
T99860163751,15062,4.99,2024-11-03,Student Plan,2024-12-03,active,True,30
T91993295764,15062,4.99,2024-12-06,Student Plan,2025-01-05,active,True,30
T74337627560,15062,4.99,2025-01-08,Student Plan,2025-02-07,active,True,30
T63388581945,15062,7.99,2025-02-12,Standard,2025-03-14,active,True,30
T76123231901,15062,7.99,2025-03-15,Standard,2025-04-14,active,True,30
T99159318869,15063,7.99,2024-11-03,Standard,2024-12-03,active,True,30
T74354333593,15063,7.99,2024-12-06,Standard,2025-01-05,active,True,30
T61106710058,15063,7.99,2025-01-09,Standard,2025-02-08,active,True,30
T75113004872,15063,7.99,2025-02-11,Standard,2025-03-13,active,True,30
T68287936906,15064,4.99,2024-11-03,Student Plan,2024-12-03,active,True,30
T98755286428,15064,4.99,2024-12-04,Student Plan,2025-01-03,active,True,30
T71385666288,15064,4.99,2025-01-06,Student Plan,2025-02-05,active,True,30
T77584505721,15064,4.99,2025-02-06,Student Plan,2025-03-08,active,True,30
T85461404642,15064,12.99,2025-03-09,Premium,2025-05-08,active,True,60
T66593699955,15065,7.99,2024-11-03,Standard,2024-12-03,active,True,30
T67628274194,15065,7.99,2024-12-06,Standard,2025-01-05,active,True,30
T55378295775,15065,7.99,2025-01-10,Standard,2025-02-09,active,True,30
T69743746630,15065,7.99,2025-02-13,Standard,2025-03-15,active,True,30
T64055278498,15066,4.99,2024-11-04,Student Plan,2024-12-04,churned,False,30
T52949499933,15067,7.99,2024-11-04,Standard,2024-12-04,active,True,30
T90013702399,15067,7.99,2024-12-07,Standard,2025-01-06,churned,False,30
T94255422726,15068,7.99,2024-11-04,Standard,2024-12-04,churned,False,30
T74031390138,15069,12.99,2024-11-04,Premium,2025-01-03,active,True,60
T77885228184,15069,12.99,2025-01-07,Premium,2025-03-08,active,True,60
T73813122108,15069,12.99,2025-03-10,Premium,2025-05-09,active,True,60
T63233527950,15070,4.99,2024-11-04,Student Plan,2024-12-04,active,True,30
T96200642612,15070,4.99,2024-12-09,Student Plan,2025-01-08,churned,False,30
T69571925002,15071,4.99,2024-11-04,Student Plan,2024-12-04,churned,False,30
T97238400690,15072,12.99,2024-11-04,Premium,2025-01-03,active,True,60
T70841921489,15072,12.99,2025-01-08,Premium,2025-03-09,active,True,60
T72358968207,15072,12.99,2025-03-11,Premium,2025-05-10,active,True,60
T93652832065,15073,4.99,2024-11-04,Student Plan,2024-12-04,churned,False,30
T93428341303,15074,12.99,2024-11-04,Premium,2025-01-03,active,True,60
T90324769698,15074,12.99,2025-01-07,Premium,2025-03-08,active,True,60
T64071742686,15074,12.99,2025-03-12,Premium,2025-05-11,active,True,60
T88399413063,15075,12.99,2024-11-04,Premium,2025-01-03,active,True,60
T52756146879,15075,12.99,2025-01-05,Premium,2025-03-06,active,True,60
T92465906919,15075,12.99,2025-03-08,Premium,2025-05-07,active,True,60
T82006286858,15076,4.99,2024-11-04,Student Plan,2024-12-04,churned,False,30
T55182362116,15077,12.99,2024-11-04,Premium,2025-01-03,active,True,60
T58572445917,15077,12.99,2025-01-06,Premium,2025-03-07,active,True,60
T59481202987,15077,12.99,2025-03-08,Premium,2025-05-07,active,True,60
T83878440078,15078,12.99,2024-11-04,Premium,2025-01-03,active,True,60
T59698198708,15078,12.99,2025-01-08,Premium,2025-03-09,active,True,60
T53602482829,15078,12.99,2025-03-12,Premium,2025-05-11,active,True,60
T96893817426,15079,7.99,2024-11-04,Standard,2024-12-04,churned,False,30
T57239694070,15080,12.99,2024-11-04,Premium,2025-01-03,active,True,60
T63596645640,15080,12.99,2025-01-04,Premium,2025-03-05,active,True,60
T84018841108,15080,12.99,2025-03-08,Premium,2025-05-07,active,True,60
T67960349478,15081,4.99,2024-11-04,Student Plan,2024-12-04,active,True,30
T75565961576,15081,4.99,2024-12-07,Student Plan,2025-01-06,active,True,30
T78016300235,15081,12.99,2025-01-10,Premium,2025-03-11,active,True,60
T68237251590,15081,12.99,2025-03-15,Premium,2025-05-14,active,True,60
T94986312424,15082,4.99,2024-11-04,Student Plan,2024-12-04,active,True,30
T81402659958,15082,7.99,2024-12-09,Standard,2025-01-08,active,True,30
T66500701354,15082,12.99,2025-01-12,Premium,2025-03-13,active,True,60
T98634679920,15083,7.99,2024-11-04,Standard,2024-12-04,active,True,30
T53172332205,15083,7.99,2024-12-09,Standard,2025-01-08,active,True,30
T92876515932,15083,7.99,2025-01-12,Standard,2025-02-11,active,True,30
T99852511965,15083,7.99,2025-02-13,Standard,2025-03-15,active,True,30
T97911219538,15084,7.99,2024-11-05,Standard,2024-12-05,churned,False,30
T74267296906,15085,12.99,2024-11-05,Premium,2025-01-04,active,True,60
T92949495921,15085,7.99,2025-01-09,Standard,2025-02-08,active,True,30
T74060164978,15085,12.99,2025-02-13,Premium,2025-04-14,active,True,60
T85286742558,15086,4.99,2024-11-05,Student Plan,2024-12-05,active,True,30
T95665797407,15086,4.99,2024-12-08,Student Plan,2025-01-07,churned,False,30
T66727178342,15087,7.99,2024-11-05,Standard,2024-12-05,active,True,30
T85231216395,15087,7.99,2024-12-06,Standard,2025-01-05,active,True,30
T68103103486,15087,7.99,2025-01-07,Standard,2025-02-06,active,True,30
T87814036068,15087,7.99,2025-02-07,Standard,2025-03-09,churned,False,30
T90340232804,15088,7.99,2024-11-05,Standard,2024-12-05,active,True,30
T69827565924,15088,7.99,2024-12-09,Standard,2025-01-08,active,True,30
T57707235104,15088,7.99,2025-01-09,Standard,2025-02-08,active,True,30
T56329570231,15088,7.99,2025-02-12,Standard,2025-03-14,active,True,30
T69924820646,15089,7.99,2024-11-05,Standard,2024-12-05,active,True,30
T80281259627,15089,7.99,2024-12-08,Standard,2025-01-07,active,True,30
T77310042925,15089,7.99,2025-01-08,Standard,2025-02-07,active,True,30
T81782435999,15089,7.99,2025-02-10,Standard,2025-03-12,churned,False,30
T87129661959,15090,12.99,2024-11-05,Premium,2025-01-04,active,True,60
T80934816930,15090,12.99,2025-01-08,Premium,2025-03-09,active,True,60
T69595131556,15090,12.99,2025-03-10,Premium,2025-05-09,active,True,60
T72028034723,15091,4.99,2024-11-05,Student Plan,2024-12-05,churned,False,30
T57923234171,15092,7.99,2024-11-05,Standard,2024-12-05,active,True,30
T83021746373,15092,7.99,2024-12-06,Standard,2025-01-05,active,True,30
T94576775601,15092,7.99,2025-01-07,Standard,2025-02-06,active,True,30
T85511011463,15092,7.99,2025-02-07,Standard,2025-03-09,active,True,30
T97184496697,15092,7.99,2025-03-10,Standard,2025-04-09,churned,False,30
T73396126660,15093,12.99,2024-11-05,Premium,2025-01-04,active,True,60
T57925793580,15093,12.99,2025-01-09,Premium,2025-03-10,churned,False,60
T77840284930,15094,12.99,2024-11-05,Premium,2025-01-04,active,True,60
T61860980019,15094,7.99,2025-01-07,Standard,2025-02-06,churned,False,30
T76974502102,15095,12.99,2024-11-05,Premium,2025-01-04,active,True,60
T50781590799,15095,12.99,2025-01-09,Premium,2025-03-10,active,True,60
T64686972118,15095,12.99,2025-03-13,Premium,2025-05-12,active,True,60
T60630686067,15096,4.99,2024-11-06,Student Plan,2024-12-06,active,True,30
T82832346870,15096,4.99,2024-12-11,Student Plan,2025-01-10,active,True,30
T99511422159,15096,4.99,2025-01-11,Student Plan,2025-02-10,active,True,30
T99520446452,15096,7.99,2025-02-14,Standard,2025-03-16,active,True,30
T95126434621,15097,12.99,2024-11-06,Premium,2025-01-05,active,True,60
T81162052374,15097,12.99,2025-01-07,Premium,2025-03-08,active,True,60
T53626492857,15097,12.99,2025-03-10,Premium,2025-05-09,active,True,60
T57116855281,15098,4.99,2024-11-06,Student Plan,2024-12-06,active,True,30
T74783150145,15098,4.99,2024-12-11,Student Plan,2025-01-10,active,True,30
T61129117250,15098,12.99,2025-01-12,Premium,2025-03-13,active,True,60
T70216549572,15099,4.99,2024-11-06,Student Plan,2024-12-06,active,True,30
T72053493297,15099,4.99,2024-12-10,Student Plan,2025-01-09,active,True,30
T51472331117,15099,4.99,2025-01-13,Student Plan,2025-02-12,active,True,30
T93009526674,15099,4.99,2025-02-17,Student Plan,2025-03-19,active,True,30
T71833565255,15100,12.99,2024-11-06,Premium,2025-01-05,active,True,60
T52808656878,15100,7.99,2025-01-06,Standard,2025-02-05,churned,False,30
T98109266305,15101,7.99,2024-11-06,Standard,2024-12-06,active,True,30
T57007002572,15101,7.99,2024-12-10,Standard,2025-01-09,active,True,30
T71634739971,15101,7.99,2025-01-10,Standard,2025-02-09,active,True,30
T93883672836,15101,7.99,2025-02-12,Standard,2025-03-14,active,True,30
T62436488560,15102,12.99,2024-11-06,Premium,2025-01-05,active,True,60
T74468891189,15102,7.99,2025-01-07,Standard,2025-02-06,active,True,30
T72501445174,15102,7.99,2025-02-09,Standard,2025-03-11,active,True,30
T56850853945,15102,7.99,2025-03-13,Standard,2025-04-12,churned,False,30
T62812109125,15103,12.99,2024-11-06,Premium,2025-01-05,active,True,60
T64033791309,15103,12.99,2025-01-06,Premium,2025-03-07,active,True,60
T60455272464,15103,12.99,2025-03-09,Premium,2025-05-08,active,True,60
T67211983119,15104,7.99,2024-11-06,Standard,2024-12-06,active,True,30
T81331281982,15104,7.99,2024-12-07,Standard,2025-01-06,active,True,30
T86242608800,15104,7.99,2025-01-09,Standard,2025-02-08,churned,False,30
T79017132223,15105,7.99,2024-11-06,Standard,2024-12-06,active,True,30
T67927225850,15105,7.99,2024-12-09,Standard,2025-01-08,churned,False,30
T55311097601,15106,7.99,2024-11-06,Standard,2024-12-06,active,True,30
T95268561009,15106,7.99,2024-12-09,Standard,2025-01-08,active,True,30
T94995096840,15106,7.99,2025-01-12,Standard,2025-02-11,churned,False,30
T89207295567,15107,12.99,2024-11-06,Premium,2025-01-05,active,True,60
T94986227047,15107,12.99,2025-01-06,Premium,2025-03-07,active,True,60
T70733790569,15107,12.99,2025-03-11,Premium,2025-05-10,active,True,60
T91592591092,15108,7.99,2024-11-06,Standard,2024-12-06,active,True,30
T74459598765,15108,12.99,2024-12-09,Premium,2025-02-07,active,True,60
T97281669958,15108,12.99,2025-02-10,Premium,2025-04-11,active,True,60
T50682977355,15109,12.99,2024-11-06,Premium,2025-01-05,active,True,60
T63489169518,15109,7.99,2025-01-08,Standard,2025-02-07,churned,False,30
T88050579069,15110,12.99,2024-11-06,Premium,2025-01-05,active,True,60
T85264713566,15110,12.99,2025-01-07,Premium,2025-03-08,active,True,60
T98061019775,15110,12.99,2025-03-09,Premium,2025-05-08,active,True,60
T66816871796,15111,7.99,2024-11-06,Standard,2024-12-06,active,True,30
T92423179606,15111,7.99,2024-12-10,Standard,2025-01-09,active,True,30
T93923914108,15111,7.99,2025-01-12,Standard,2025-02-11,active,True,30
T73775188825,15111,7.99,2025-02-16,Standard,2025-03-18,active,True,30
T81398879357,15112,12.99,2024-11-06,Premium,2025-01-05,active,True,60
T51620509399,15112,12.99,2025-01-06,Premium,2025-03-07,active,True,60
T74847752912,15112,12.99,2025-03-08,Premium,2025-05-07,active,True,60
T84033325173,15113,12.99,2024-11-06,Premium,2025-01-05,active,True,60
T79445898203,15113,7.99,2025-01-06,Standard,2025-02-05,active,True,30
T76294235105,15113,7.99,2025-02-10,Standard,2025-03-12,active,True,30
T92243161525,15114,7.99,2024-11-06,Standard,2024-12-06,active,True,30
T55305955622,15114,7.99,2024-12-11,Standard,2025-01-10,active,True,30
T86228109633,15114,7.99,2025-01-14,Standard,2025-02-13,active,True,30
T65084061635,15114,7.99,2025-02-14,Standard,2025-03-16,active,True,30
T50294315542,15115,12.99,2024-11-07,Premium,2025-01-06,active,True,60
T66862062984,15115,7.99,2025-01-08,Standard,2025-02-07,churned,False,30
T94041124539,15116,7.99,2024-11-07,Standard,2024-12-07,active,True,30
T93755010235,15116,12.99,2024-12-12,Premium,2025-02-10,active,True,60
T53388751284,15116,7.99,2025-02-15,Standard,2025-03-17,active,True,30
T63077759815,15117,7.99,2024-11-07,Standard,2024-12-07,active,True,30
T84415258963,15117,7.99,2024-12-12,Standard,2025-01-11,active,True,30
T74371328498,15117,7.99,2025-01-16,Standard,2025-02-15,active,True,30
T68047576310,15117,12.99,2025-02-17,Premium,2025-04-18,active,True,60
T52304584743,15118,7.99,2024-11-07,Standard,2024-12-07,churned,False,30
T95238406042,15119,7.99,2024-11-07,Standard,2024-12-07,active,True,30
T98084568850,15119,7.99,2024-12-11,Standard,2025-01-10,active,True,30
T96945464148,15119,7.99,2025-01-14,Standard,2025-02-13,active,True,30
T85813088690,15119,7.99,2025-02-15,Standard,2025-03-17,active,True,30
T57387674068,15120,4.99,2024-11-07,Student Plan,2024-12-07,active,True,30
T79763562885,15120,4.99,2024-12-11,Student Plan,2025-01-10,active,True,30
T74975042535,15120,4.99,2025-01-15,Student Plan,2025-02-14,active,True,30
T55119651728,15120,7.99,2025-02-18,Standard,2025-03-20,active,True,30
T53303036903,15121,4.99,2024-11-07,Student Plan,2024-12-07,churned,False,30
T89732736724,15122,4.99,2024-11-07,Student Plan,2024-12-07,active,True,30
T82247841218,15122,4.99,2024-12-09,Student Plan,2025-01-08,active,True,30
T62451790664,15122,4.99,2025-01-11,Student Plan,2025-02-10,active,True,30
T59409752244,15122,4.99,2025-02-13,Student Plan,2025-03-15,active,True,30
T60546415001,15123,12.99,2024-11-07,Premium,2025-01-06,active,True,60
T94144639857,15123,7.99,2025-01-10,Standard,2025-02-09,churned,False,30
T71027080974,15124,4.99,2024-11-07,Student Plan,2024-12-07,active,True,30
T87808970424,15124,4.99,2024-12-09,Student Plan,2025-01-08,churned,False,30
T59036895922,15125,12.99,2024-11-07,Premium,2025-01-06,active,True,60
T89335596247,15125,12.99,2025-01-10,Premium,2025-03-11,active,True,60
T53103964862,15125,12.99,2025-03-15,Premium,2025-05-14,active,True,60
T59634820958,15126,12.99,2024-11-07,Premium,2025-01-06,active,True,60
T72194730866,15126,12.99,2025-01-08,Premium,2025-03-09,active,True,60
T87110726476,15126,12.99,2025-03-13,Premium,2025-05-12,active,True,60
T70374129950,15127,7.99,2024-11-07,Standard,2024-12-07,active,True,30
T98097073817,15127,7.99,2024-12-10,Standard,2025-01-09,active,True,30
T77881627482,15127,7.99,2025-01-11,Standard,2025-02-10,active,True,30
T95740067499,15127,7.99,2025-02-13,Standard,2025-03-15,active,True,30
